scientific_name,group,source,conservation_status,match_level,speciesnet_detectable,geofence_status,speciesnet_common_name,speciesnet_label
Ancistrops strigilatus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Andigena hypoglauca,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Andigena laminirostris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Andigena nigrirostris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Androdon aequatorialis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anhima cornuta,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,horned screamer,d7ceea36-ef55-4e6b-a8b3-8cf64cbf2382;aves;anseriformes;anhimidae;anhima;cornuta;horned screamer
Anhinga anhinga,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,anhinga,ad5052c3-b46d-4d12-ba8a-b11a10e487f9;aves;suliformes;anhingidae;anhinga;anhinga;anhinga
Anisognathus igniventris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anisognathus lacrymosus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anisognathus notabilis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anisognathus somptuosus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anous minutus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anous stolidus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,brown noddy,06c15985-fbe7-4da4-9972-22c03280eaf0;aves;charadriiformes;laridae;anous;stolidus;brown noddy
Anous stolidus galapagensis,Ave,Lista Roja de las Aves del Ecuador 2019,,binomial_model_species,yes,allowed,brown noddy,06c15985-fbe7-4da4-9972-22c03280eaf0;aves;charadriiformes;laridae;anous;stolidus;brown noddy
Anthracothorax nigricollis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anthus bogotensis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anthus cervinus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Antrostomus rufus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anurolimnas castaneiceps,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anurolimnas fasciatus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Anurolimnas viridis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aphriza virgata,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Ara ambiguus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Ara ararauna,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Ara chloropterus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Ara macao,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Ara militaris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Ara severus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aramides axillaris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aramides cajaneus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,grey-necked wood-rail,033f2ecb-bf36-4ce1-bf3f-7efcd71fe374;aves;gruiformes;rallidae;aramides;cajaneus;grey-necked wood-rail
Aramides calopterus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,red-winged wood-rail,3fd64afc-551e-4363-92a8-786ee90b3c1a;aves;gruiformes;rallidae;aramides;calopterus;red-winged wood-rail
Aramides wolfi,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aramus guarauna,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,limpkin,ab76dc57-00aa-4dca-a5d6-0706f1585360;aves;gruiformes;aramidae;aramus;guarauna;limpkin
Aratinga weddellii,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Ardea alba,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,great white egret,f8db21f0-6b79-4444-8be4-b87906d56e6a;aves;pelecaniformes;ardeidae;ardea;alba;great white egret
Ardea cocoi,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,cocoi heron,bfa75aeb-3187-48fe-95b9-f171465cc984;aves;pelecaniformes;ardeidae;ardea;cocoi;cocoi heron
Ardea herodias,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,great blue heron,96fe1a07-7ef1-4a2f-99e1-ec2c9a78b532;aves;pelecaniformes;ardeidae;ardea;herodias;great blue heron
Ardea herodias cognatus,Ave,Lista Roja de las Aves del Ecuador 2019,,binomial_model_species,yes,allowed,great blue heron,96fe1a07-7ef1-4a2f-99e1-ec2c9a78b532;aves;pelecaniformes;ardeidae;ardea;herodias;great blue heron
Ardenna bulleri,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Ardenna carneipes,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Ardenna creatopus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,pink-footed shearwater,92fa8623-0b11-4fa6-9f03-55a6a9f2dc13;aves;procellariiformes;procellariidae;ardenna;creatopus;pink-footed shearwater
Ardenna grisea,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Ardenna pacifica,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Arenaria interpres,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Arenaria melanocephala,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Arremon abeillei,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Arremon assimilis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Arremon aurantiirostris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Arremon brunneinucha,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,chestnut-capped brush-finch,1446e06e-590f-41ec-8ecc-af0529a20805;aves;passeriformes;passerellidae;arremon;brunneinucha;chestnut-capped brush-finch
Arremon castaneiceps,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Arremonops conirostris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Arundinicola leucocephala,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Asio flammeus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,short-eared owl,5885ce9f-7b3a-4df5-ad16-c480bae028ce;aves;strigiformes;strigidae;asio;flammeus;short-eared owl
Asio flammeus galapagoensis,Ave,Lista Roja de las Aves del Ecuador 2019,,binomial_model_species,yes,allowed,short-eared owl,5885ce9f-7b3a-4df5-ad16-c480bae028ce;aves;strigiformes;strigidae;asio;flammeus;short-eared owl
Asio stygius,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Assessing national conservation,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Asthenes flammulata,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Asthenes fuliginosa,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Asthenes griseomurina,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Asthenes wyatti,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Athene cunicularia,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,burrowing owl,d195f0ca-438e-4826-8fce-5e0de1ee27b6;aves;strigiformes;strigidae;athene;cunicularia;burrowing owl
Atlapetes albiceps,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Atlapetes albinucha,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Atlapetes latinuchus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,rufous-naped brush finch,75ff915c-ec7c-4dd1-af61-2595abb27c4b;aves;passeriformes;passerellidae;atlapetes;latinuchus;rufous-naped brush finch
Atlapetes leucopis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Atlapetes leucopterus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Atlapetes pallidiceps,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Atlapetes pallidinucha,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,pale-naped brush-finch,c9128f49-e02b-4d8c-8dc8-3f5c647c4f52;aves;passeriformes;passerellidae;atlapetes;pallidinucha;pale-naped brush-finch
Atlapetes schistaceus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Atlapetes seebohmi,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Atlapetes tricolor,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Attagis gayi,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Atticora fasciata,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Atticora tibialis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Attila cinnamomeus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Attila citriniventris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Attila spadiceus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Attila torridus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
